account_id,account_age_days,total_value
A000000,515.0,35901.49
A000001,1281.0,72801.53
A000002,1370.0,103960.91
A000003,1432.0,115941.78
A000004,630.0,127131.72
A000005,1304.0,89214.37
A000006,714.0,110668.66
A000007,1285.0,119079.41
A000008,731.0,45614.12
A000009,648.0,71366.84
A000010,1380.0,31377.53
A000011,657.0,109302.0
A000012,772.0,105830.14
A000013,1054.0,103859.71
A000014,1364.0,52926.87
A000015,901.0,54144.61
A000016,1042.0,61757.46
A000017,1562.0,73230.21
A000018,566.0,54731.51
A000019,1296.0,63406.68
A000020,1420.0,26386.72
A000021,914.0,77349.89
A000022,1468.0,77077.78
A000023,1272.0,95886.49
A000024,993.0,87063.8
A000025,1581.0,108266.53
A000026,1288.0,101200.15
A000027,1020.0,88280.99
A000028,488.0,30721.87
A000029,1197.0,97953.17
A000030,1013.0,76251.28
A000031,580.0,94416.61
A000032,1172.0,50479.85
A000033,1554.0,82654.1
A000034,530.0,97664.17
A000035,1540.0,101184.44
A000036,936.0,48809.76
A000037,1178.0,68797.36
A000038,702.0,113032.02
A000039,478.0,86290.87
A000040,1543.0,20404.64
A000041,651.0,102626.47
A000042,566.0,59606.54
A000043,1449.0,91981.14
A000044,1006.0,122133.6
A000045,989.0,37895.77
A000046,755.0,97033.99
A000047,1121.0,48670.67
A000048,422.0,48804.93
A000049,1292.0,84012.74
A000050,1571.0,92273.24
A000051,1392.0,93514.88
A000052,530.0,44966.33
A000053,1388.0,69029.82
A000054,1362.0,77638.19
A000055,890.0,37405.69
A000056,1101.0,24738.9
A000057,922.0,67417.32
A000058,801.0,95196.51
A000059,1570.0,52798.39
A000060,1068.0,31182.72
A000061,770.0,144638.57
A000062,434.0,49233.55
A000063,905.0,49653.53
A000064,1250.0,108777.52
A000065,888.0,86382.34
A000066,912.0,111078.7
A000067,1087.0,42078.53
A000068,713.0,49387.34
A000069,818.0,62465.09
A000070,1407.0,68409.99
A000071,714.0,59176.48
A000072,1533.0,62452.26
A000073,688.0,111647.8
A000074,747.0,70029.47
A000075,695.0,93856.71
A000076,1209.0,60340.03
A000077,1474.0,29378.42
A000078,489.0,77269.75
A000079,924.0,74241.57
A000080,1511.0,120927.43
A000081,888.0,65287.7
A000082,1022.0,52217.05
A000083,484.0,84731.63
A000084,1373.0,25523.73
A000085,1554.0,80311.45
A000086,451.0,79282.14
A000087,504.0,67029.56
A000088,1505.0,15363.4
A000089,543.0,54639.69
A000090,1476.0,40614.81
A000091,1285.0,23541.65
A000092,1434.0,46275.69
A000093,1313.0,36499.73
A000094,605.0,102368.44
A000095,689.0,69279.67
A000096,1450.0,39409.85
A000097,1436.0,45376.22
A000098,571.0,21564.49
A000099,1277.0,80833.8
A000100,1522.0,87572.85
A000101,994.0,86456.59
A000102,1437.0,28169.69
A000103,1147.0,67176.34
A000104,558.0,22564.03
A000105,1566.0,71702.23
A000106,907.0,99075.94
A000107,724.0,99210.48
A000108,1224.0,48210.39
A000109,420.0,58749.46
A000110,1219.0,117063.9
A000111,1053.0,71019.41
A000112,984.0,86167.2
A000113,1584.0,102602.36
A000114,859.0,38028.34
