user_id,num_accounts,txn_count,total_txn_amount,avg_portfolio_value
U00000,2,31,77437.01,35279.4
U00001,1,39,105678.5,75625.12
U00002,1,30,83163.67,70578.49
U00003,2,66,197385.4,81714.52
U00004,3,63,188691.23,72379.54
U00005,6,184,525922.84,84940.81
U00006,1,39,116889.91,103789.97
U00007,2,93,258502.46,111298.79
U00008,4,148,400959.2,89089.48
U00010,1,50,143242.89,116243.05
U00011,1,21,52550.47,52530.47
U00012,1,39,98993.19,84343.33
U00013,3,60,145855.48,63577.99
U00014,3,61,188675.41,60851.48
U00015,1,12,30366.14,19631.98
U00016,4,126,322157.57,74782.93
U00017,1,38,89613.63,78951.29
U00018,3,93,250459.01,86672.48
U00021,1,18,51113.96,48329.46
U00022,3,107,283579.2,85050.23
U00023,4,81,220791.13,62356.13
U00024,1,25,66925.8,57486.88
U00025,2,84,230679.51,100278.27
U00026,1,14,37924.05,31645.18
U00027,1,28,82335.38,77173.08
U00028,3,100,281097.28,82520.23
U00030,1,40,111397.98,98833.5
U00031,3,109,337863.48,96643.58
U00032,1,35,94678.52,86034.8
U00033,1,11,37886.94,25455.62
U00034,2,68,173194.94,72820.43
U00035,3,86,249989.57,72418.28
U00036,1,37,116279.63,100340.55
U00037,1,26,65327.28,55906.32
U00038,2,53,144727.52,72523.09
U00039,5,134,399283.88,80780.06
U00040,3,88,236086.57,64633.79
U00041,2,52,149510.77,58355.89
U00042,1,14,51553.3,51553.3
U00043,2,29,71738.34,28731.27
U00044,2,51,129948.03,58162.69
U00045,1,45,126310.26,108820.36
U00046,1,28,86664.8,72261.02
U00047,1,48,136376.86,110094.34
U00048,2,73,207551.08,90824.94
U00051,2,61,164447.2,85850.19
U00052,3,90,236158.27,75357.24
U00053,4,102,296429.84,77233.82
U00054,1,48,125407.86,116055.06
U00055,4,108,307479.1,87677.98
U00056,1,29,68334.87,63535.79
U00057,3,78,203883.0,66815.29
U00058,3,93,276361.31,83478.75
U00059,1,11,35685.85,35685.85
U00060,1,45,121344.63,102058.65
U00061,5,116,320332.86,56808.61
U00062,5,161,443952.7,84953.56
U00063,1,46,150016.99,123453.74
U00064,1,34,104935.06,96080.96
U00065,2,54,124337.14,57176.0
U00066,1,29,76174.6,59293.26
U00067,2,54,171003.03,93783.51
U00068,1,40,127984.75,97197.33
U00069,2,39,109304.43,50297.08
U00070,1,34,84734.24,73848.34
U00071,3,61,146672.0,51405.58
U00072,3,126,382516.09,116105.79
U00073,2,52,144090.11,64259.84
U00075,2,60,161818.96,92518.7
U00076,1,14,35571.82,30927.12
U00078,3,114,311579.3,92301.5
U00079,1,18,46531.61,36319.88
U00081,2,65,163469.73,69051.19
